skill,has_what,has_when,has_triggers,third_person,change_from_v1,note
adr-writer,yes,yes,yes,yes,"phase1: when no→yes via canonical Use-when rewrite + boundary clause","Pre-ADR cluster (planning ↔ clarify ↔ adr-writer). Names /planning and /clarify as pre-decision predecessors."
audit-milestone,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + milestone-lifecycle boundary clauses","Three-stage milestone cluster: audit before close, /complete-milestone closes, /milestone-summary post-close."
changelog,yes,yes,yes,yes,"phase1: when no→yes + boundary clause vs /release","Cluster boundary: notes-only here; /release tags and publishes."
check-plan,yes,yes,yes,yes,"phase1: when partial→yes via explicit trigger ""validating a draft ADR or prompt before disk write""","Standalone (no cluster). Chain framing preserved (chained from /adr-writer and /prepare-issue)."
clarify,yes,yes,yes,yes,"phase1: when partial→yes + pre-ADR cluster boundary clauses","Pre-ADR cluster: /planning is broader context, /clarify resolves specific open questions, /adr-writer commits the decision."
claude-issue-executor,yes,yes,yes,yes,"phase1: when no→yes + boundary clause vs /prepare-issue","Disambiguation cluster (the only medium-conf routing case in the GPT-5.5 verification): runs the session when prompt artefact already exists."
complete-milestone,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + milestone-lifecycle boundary clauses","Three-stage milestone cluster: pre-flight via /audit-milestone, retrospective via /milestone-summary."
idea-to-prd,yes,yes,yes,yes,"phase1: minor touch-up — explicit 'Use when starting from a rough idea' trigger","Standalone. Already-passing skill brought into cohort-uniform Use-when shape."
issue-planner,yes,yes,yes,yes,"phase1: when partial→yes via explicit trigger ""filing the issue backlog after MVP and build-out plan are finalized""","Standalone. Inputs (mvp.md, build-out-plan.md) preserved as triggers."
milestone-summary,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + milestone-lifecycle boundary clauses","Three-stage milestone cluster: writes retrospective for closed milestone."
pause,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + boundary clause pairs with /resume","Session-handoff cluster: end-of-session pair with /resume."
planning,yes,yes,yes,yes,"phase1: when partial→yes + pre-ADR cluster boundary clauses","Pre-ADR cluster: broader project context capture, distinct from /clarify (specific questions) and /adr-writer (commit decision)."
pr-review-packager,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + YAML-comment-truncation bug fix","Pre-existing YAML bug: ""Closes #N"" got parsed as a comment marker, silently truncating description. Reworded to ""Closes line"" so full description renders."
prd-normalizer,yes,yes,yes,yes,"phase1: when no→yes via explicit trigger ""preparing a PRD before MVP scoping""","Standalone. Output artefact (design/prd-normalized.md) added as a trigger."
prd-to-mvp,yes,yes,yes,yes,"phase1: when no→yes via explicit trigger ""scoping the next milestone after PRD has been normalized""","Standalone. Output artefacts (mvp.md, build-out-plan.md) added as triggers."
prepare-issue,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + boundary clause vs /claude-issue-executor","Disambiguation cluster: this creates the prompt artefact; /claude-issue-executor runs it."
release,yes,yes,yes,yes,"phase1: when no→yes + boundary clause vs /changelog","Cluster boundary: tag and publish here; /changelog renders notes only."
resume,yes,yes,yes,yes,"phase1: rewrite to canonical Use-when + boundary clause pairs with /pause","Session-handoff cluster: start-of-session pair with /pause."
workflow-docs,yes,yes,yes,yes,"phase1: minor touch-up — explicit 'Use when generating or refreshing the project's user-facing docs' trigger","Standalone. README.md / design/ai-summary.md generation context now explicit."
